KID024,"This royal artifact, one of the many creations from the great Age of Alexis, represents the holy symbol of the royal family of Tenderkin to the south. You can almost sense the prestige that was once carried with this beautiful sceptre."
KID025,"The rod is a long slender metallic object, primarily made from a rare metal find in Kyrandia. It is black in color and weighs quite a bit."
KID026,"The wand is about two feet in length and about half an inch in diameter. It appears to be constructed from pure silver, although it is much lighter than you would expect. A silver tulip entwined within two hearts has been intricately carved across its length."
KID027,"This small, silver trinket is hung from a thin, silver chain. At first glance, it appears to be worthless, yet you sense a mysterious force locked within its simplicity."
KID028,"The soulstone is a large jewel, slightly bigger than your palm. It has been carved into the shape of a perfectly symmetrical ellipse. When glanced at from a distance, it appears to be only a dull grey in color, but when you gaze closely, it jumps to life, sparkling brilliant, multi-colored rainbows."
KID029,"The kyragem is one of the loveliest gems of the entire world, scintillating with a bright, prismatic splendor. Although this beautiful jewel is rather small in size, it radiates an aura of incredible power, filling your soul with eternal peace and love. Mystically etched into the center of the stone, you see the words, "Across time and space forever...", shining blazingly."
KID030,"The dragonstaff is a great rod, at least six feet in length and about two inches in diameter. It appears to have been constructed from solid cedar, with an exact replica of a small dragon's head placed on its top, its mouth gaping open. Strange, unintelligible symbols have been carved in the wood from top to bottom, and the entire staff radiates powerful magic."
KID031,"Bubbling and frothing constantly, this pinkish-red potion is most certainly one of the strangest concoctions in all of Kyrandia. A distinctive odor of many potent and mysterious spices emanates from the center of this magical liquid, tempting you to drink its enchanting substance."
KID032,"About the size of your palm, this appears to be just an ordinary pinecone. However, something about it -- you can't figure out what -- leads you to believe there is a hidden magic to its simple nature."
KID033,"The dagger is made from pure silver, and it shines with a bright glimmer as you examine it. Its hilt is decorated with several small jewels, which add to the sparkle of this small blade. An inscription, written in gold, on the blade reads: "Love Conquers All"."
KID034,"The sword is a beautiful blade forged from the finest metals of the land, sharpened to a perfect edge, and decorated with many precious jewels of incredible beauty."
KID035,"The scroll has been made from fine papyrus paper, although it seems quite worn and ancient. A certain magical force surrounds it, and you feel yourself being magically drawn to reading its mystical symbols."
KID036,"The codex appears to be a very ancient and magical work, dating back before the ages of the elders. Your eyes seem to be drawn to reading its mysterious symbols."
KID037,"This powerful book of knowledge radiates an awesome aura of pure energy, beckoning you to read its mystical language. An ominous feeling enters your soul."
KID038,"The parchment is made from a leathery material which has been rolled up. After further examination you unroll it and feel some of its magic escape. You are compelled to want to read it."
KID039,"The ring is made of pure gold and flawless in its design. You can notice that twelve tiny specks surround it denoting some kind of significance. This is the holy symbol of wholeness... oneness... eternal unity."
KID040,"The rose is a beautiful flower, solid lavender in color, and eternally in full bloom. It has lovely fragrance, the most wonderful, natural perfume you have ever smelled. This star of natural beauty is also the holy symbol of the Goddess Tashanna."
KID041,"The lilac is a small, white flower."
KID042,"The orchid, strangely enough, seems to be of solid gold. It sparkles with a magical brilliance as you examine it, almost enchanting you with its simple glitter."
KID043,"The shard is a crystalline, elongated-hexagonal piece of clear quartz. It has been magically shaped into the form of a teardrop, representing its sorrowful origin. Something about the shard touches the deepest part of your heart."
KID044,"The tulip is a delicate flower made of the purest silver. Something about the gentle nature of the beautiful work of nature touches your heart. You can also detect a sweet odor magically rising from it's shiny petals."
KID045,"The dryad is a female tree nymph, about four feet tall with long blonde hair and large, deep blue eyes. She smiles at you warmly, and bows to you respectfully. You also notice a lavender rose placed perfectly in the middle of her beautiful hair."
